Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Revenue,Profit
1001,2026-06-01,C001,Laptop,Electronics,Delhi,1,65000,8000
1002,2026-06-03,C002,Phone,Electronics,delhi,2,50000,6000
1007,2026-08-02,C241,Headphones,Electronics,Kolkata,6,39396,7334
1011,2026-08-11,C026,Makeup Kit,Beauty,Delhi,5,20375,7418
1014,2026-05-12,C446,Jeans,Apparel,Unknown,2,3440,867
1020,2026-01-03,C184,Microwave,Home,Delhi,2,26576,5208
1021,2026-08-05,C289,Skincare Set,beauty,Delhi,2,3766,1170
1026,2026-07-04,C265,Table,Furniture,Delhi,4,46652,9568
1027,2026-04-08,C157,Camera,Electronics,Bangalore,6,249834,34927
1029,2026-07-03,C352,Skincare Set,Beauty,Hyderabad,1,3876,1283
1031,2026-03-12,C449,Jeans,Apparel,Kolkata,5,12735,3881
1035,2026-03-03,C306,T-Shirt,APPAREL,Bangalore,4,1276,325
1036,2026-04-12,C221,Microwave,Home,Mumbai,3,33129,5845
1037,2026-01-04,C465,Microwave,Home,Hyderabad,2,13338,2108
1038,2026-08-07,C438,Tablet,Electronics,Chennai,6,180384,22751
1039,2026-01-03,C026,Table,Furniture,Chennai,4,61344,12901
1041,2026-06-02,C197,Desk,Furniture,Hyderabad,3,27354,6502
1042,2026-05-01,C409,Camera,Electronics,Bangalore,2,79618,10513
1043,2026-06-05,C476,Phone,Electronics,BANGALORE,4,77904,8105
1046,2026-06-03,C198,Table,furniture,Pune,1,8718,1984
1059,2026-07-11,C391,Smartwatch,Electronics,Delhi,3,49845,7937
1060,2026-04-06,C468,Jeans,APPAREL,Delhi,2,4854,1604
1065,2026-06-07,C472,Laptop,electronics,Bangalore,2,147182,13313
1066,2026-06-12,C306,Skincare Set,Beauty,Kolkata,6,5562,1935
1072,2026-01-02,C341,Skincare Set,Beauty,Chennai,4,9984,3748
1073,2026-01-05,C262,Smartwatch,Electronics,Pune,3,20793,4206
1075,2026-02-07,C262,Kurta,Apparel,Pune,3,3159,842
1078,2026-07-01,C275,Phone,Electronics,Chennai,5,273590,31818
1079,2026-06-04,C442,Shoes,Apparel,Kolkata,3,9951,2959
1080,2026-07-09,C212,Microwave,Home,Hyderabad,3,30246,5502
1082,2026-06-06,C012,Phone,Electronics,Hyderabad,5,102940,9187
1083,2026-06-04,C389,Jeans,APPAREL,Mumbai,3,8163,2199
1085,2026-02-05,C363,Phone,Electronics,Chennai,2,74614,7647
1088,2026-04-01,C008,Laptop,Electronics,Chennai,1,76659,7849
1091,2026-06-07,C204,T-Shirt,Apparel,Delhi,2,1716,446
1094,2026-08-06,C183,Perfume,Beauty,Chennai,2,3612,1408
1096,2026-02-03,C396,Makeup Kit,Beauty,Chennai,4,17488,5465
1099,2026-06-05,C436,Vacuum Cleaner,HOME,Delhi,6,77628,18361
1102,2026-05-10,C462,Vacuum Cleaner,Home,Hyderabad,5,20665,4018
1103,2026-05-02,C249,Cookware Set,Home,Hyderabad,2,5584,1360
1105,2026-08-04,C241,Sofa,Furniture,Pune,6,213714,39156
